# AK Display Point Scan Data
# Axis1: yaw [-40.00, 40.00]
# Axis2: pitch [-40.00, 40.00]
# Fixed: roll = 0.00
# Step: 0.50 degrees
# Total Points: 161 x 161 = 25921
# Timestamp: 20260204_125453
yaw,pitch,Fixed_Axis,TL_X,TL_Y,TR_X,TR_Y,BL_X,BL_Y,BR_X,BR_Y
-39.50,-9.50,0.00,0.00,597.66,1767.75,0.00,104.26,1924.93,1779.68,2158.00
-39.50,-9.00,0.00,-0.00,610.97,1763.53,0.00,98.97,1936.86,1775.22,2158.00
-39.50,-8.50,0.00,0.00,624.25,1759.54,-0.00,93.66,1948.82,1770.94,2158.00
-39.50,-8.00,0.00,-0.00,637.49,1755.78,0.00,88.34,1960.83,1766.83,2158.00
-39.50,-7.50,0.00,0.00,650.69,1752.27,0.00,82.99,1972.87,1762.91,2158.00
-39.50,-7.00,0.00,0.00,663.87,1748.99,0.00,77.63,1984.96,1759.17,2158.00
-39.50,-6.50,0.00,-0.00,677.02,1745.94,-0.00,72.25,1997.10,1755.62,2158.00
-39.50,-6.00,0.00,0.00,690.14,1743.12,-0.00,66.85,2009.28,1752.25,2158.00
-39.50,-5.50,0.00,-0.00,703.24,1740.53,0.00,61.42,2021.51,1749.08,2158.00
-39.50,-5.00,0.00,0.00,716.32,1738.18,-0.00,55.97,2033.79,1746.09,2158.00
-39.50,-4.50,0.00,-0.00,729.37,1736.05,-0.00,50.50,2046.13,1743.29,2158.00
-39.50,-4.00,0.00,0.00,742.41,1734.15,0.00,45.00,2058.53,1740.69,2158.00
-39.50,-3.50,0.00,0.00,755.44,1732.48,-0.00,39.48,2070.98,1738.28,2158.00
-39.50,-3.00,0.00,0.00,768.45,1731.04,0.00,33.93,2083.49,1736.07,2158.00
-39.50,-2.50,0.00,-0.00,781.45,1729.82,0.00,28.35,2096.07,1734.06,2158.00
-39.50,-2.00,0.00,0.00,794.43,1728.83,-0.00,22.74,2108.71,1732.26,2158.00
-39.50,-1.50,0.00,-0.00,807.41,1728.06,0.00,17.11,2121.42,1730.66,2158.00
-39.50,-1.00,0.00,-0.00,820.39,1727.52,0.00,11.44,2134.20,1729.26,2158.00
-39.50,-0.50,0.00,-0.00,833.36,1727.20,-0.00,5.74,2147.06,1728.08,2158.00
-39.50,0.00,0.00,-0.00,845.55,1724.50,-0.00,0.00,2158.00,1724.50,2154.74
-39.50,0.50,0.00,5.71,853.39,1717.14,0.00,0.00,2158.00,1716.22,2133.59
-39.50,1.00,0.00,11.36,861.13,1710.15,0.00,0.00,2158.00,1708.24,2112.65
-39.50,1.50,0.00,16.94,868.79,1703.51,0.00,-0.00,2158.00,1700.56,2091.90
-39.50,2.00,0.00,22.46,876.36,1697.21,-0.00,0.00,2158.00,1693.17,2071.34
-39.50,2.50,0.00,27.92,883.84,1691.24,-0.00,0.00,2158.00,1686.06,2050.97
-39.50,3.00,0.00,33.32,891.25,1685.58,0.00,0.00,2158.00,1679.24,2030.78
-39.50,3.50,0.00,38.66,898.57,1680.24,-0.00,0.00,2158.00,1672.69,2010.75
-39.50,4.00,0.00,43.94,905.82,1675.19,0.00,-0.00,2158.00,1666.41,1990.90
-39.50,4.50,0.00,49.17,913.00,1670.44,0.00,-0.00,2158.00,1660.40,1971.21
-39.50,5.00,0.00,54.35,920.10,1665.97,-0.00,0.00,2158.00,1654.65,1951.68
-39.50,5.50,0.00,59.48,927.13,1661.78,0.00,0.00,2158.00,1649.16,1932.30
-39.50,6.00,0.00,64.56,934.10,1657.86,-0.00,0.00,2158.00,1643.93,1913.06
